,run_path,elf_path,elf_name,stdin,stdout,stderr,test_name,elf_args
520.omnetpp_r.omnetpp.General-0,520.omnetpp_r.omnetpp.General-0/run,520.omnetpp_r.omnetpp.General-0/520.omnetpp_r.origin.elf,520.omnetpp_r.origin.elf,,omnetpp.General-0,omnetpp.General-0,520.omnetpp_r.omnetpp.General-0,-c General -r 0
502.cpugcc_r.gcc-pp.opts-O3_-finline-limit_0_-fif-conversion_-fif-conversion2,502.cpugcc_r.gcc-pp.opts-O3_-finline-limit_0_-fif-conversion_-fif-conversion2/run,502.cpugcc_r.gcc-pp.opts-O3_-finline-limit_0_-fif-conversion_-fif-conversion2/502.cpugcc_r.origin.elf,502.cpugcc_r.origin.elf,,gcc-pp.opts-O3_-finline-limit_0_-fif-conversion_-fif-conversion2,gcc-pp.opts-O3_-finline-limit_0_-fif-conversion_-fif-conversion2,502.cpugcc_r.gcc-pp.opts-O3_-finline-limit_0_-fif-conversion_-fif-conversion2,gcc-pp.c -O3 -finline-limit=0 -fif-conversion -fif-conversion2 -o gcc-pp.opts-O3_-finline-limit_0_-fif-conversion_-fif-conversion2.s
502.cpugcc_r.gcc-pp.opts-O2_-finline-limit_36000_-fpic,502.cpugcc_r.gcc-pp.opts-O2_-finline-limit_36000_-fpic/run,502.cpugcc_r.gcc-pp.opts-O2_-finline-limit_36000_-fpic/502.cpugcc_r.origin.elf,502.cpugcc_r.origin.elf,,gcc-pp.opts-O2_-finline-limit_36000_-fpic,gcc-pp.opts-O2_-finline-limit_36000_-fpic,502.cpugcc_r.gcc-pp.opts-O2_-finline-limit_36000_-fpic,gcc-pp.c -O2 -finline-limit=36000 -fpic -o gcc-pp.opts-O2_-finline-limit_36000_-fpic.s
502.cpugcc_r.gcc-smaller.opts-O3_-fipa-pta,502.cpugcc_r.gcc-smaller.opts-O3_-fipa-pta/run,502.cpugcc_r.gcc-smaller.opts-O3_-fipa-pta/502.cpugcc_r.origin.elf,502.cpugcc_r.origin.elf,,gcc-smaller.opts-O3_-fipa-pta,gcc-smaller.opts-O3_-fipa-pta,502.cpugcc_r.gcc-smaller.opts-O3_-fipa-pta,gcc-smaller.c -O3 -fipa-pta -o gcc-smaller.opts-O3_-fipa-pta.s
502.cpugcc_r.ref32.opts-O5,502.cpugcc_r.ref32.opts-O5/run,502.cpugcc_r.ref32.opts-O5/502.cpugcc_r.origin.elf,502.cpugcc_r.origin.elf,,ref32.opts-O5,ref32.opts-O5,502.cpugcc_r.ref32.opts-O5,ref32.c -O5 -o ref32.opts-O5.s
502.cpugcc_r.ref32.opts-O3_-fselective-scheduling_-fselective-scheduling2,502.cpugcc_r.ref32.opts-O3_-fselective-scheduling_-fselective-scheduling2/run,502.cpugcc_r.ref32.opts-O3_-fselective-scheduling_-fselective-scheduling2/502.cpugcc_r.origin.elf,502.cpugcc_r.origin.elf,,ref32.opts-O3_-fselective-scheduling_-fselective-scheduling2,ref32.opts-O3_-fselective-scheduling_-fselective-scheduling2,502.cpugcc_r.ref32.opts-O3_-fselective-scheduling_-fselective-scheduling2,ref32.c -O3 -fselective-scheduling -fselective-scheduling2 -o ref32.opts-O3_-fselective-scheduling_-fselective-scheduling2.s
999.specrand_ir.rand.234923,999.specrand_ir.rand.234923/run,999.specrand_ir.rand.234923/999.specrand_ir.origin.elf,999.specrand_ir.origin.elf,,rand.234923,rand.234923,999.specrand_ir.rand.234923,1255432124 234923
548.exchange2_r.exchange2,548.exchange2_r.exchange2/run,548.exchange2_r.exchange2/548.exchange2_r.origin.elf,548.exchange2_r.origin.elf,,,exchange2,548.exchange2_r.exchange2,6
523.cpuxalan_r.ref-t5,523.cpuxalan_r.ref-t5/run,523.cpuxalan_r.ref-t5/523.cpuxalan_r.origin.elf,523.cpuxalan_r.origin.elf,,ref-t5,ref-t5,523.cpuxalan_r.ref-t5,-v t5.xml xalanc.xsl
541.leela_r.ref,541.leela_r.ref/run,541.leela_r.ref/541.leela_r.origin.elf,541.leela_r.origin.elf,,ref,ref,541.leela_r.ref,ref.sgf
531.deepsjeng_r.ref,531.deepsjeng_r.ref/run,531.deepsjeng_r.ref/531.deepsjeng_r.origin.elf,531.deepsjeng_r.origin.elf,,ref,ref,531.deepsjeng_r.ref,ref.txt
500.perlbench_r.checkspam.2500.5.25.11.150.1.1.1.1,500.perlbench_r.checkspam.2500.5.25.11.150.1.1.1.1/run,500.perlbench_r.checkspam.2500.5.25.11.150.1.1.1.1/500.perlbench_r.origin.elf,500.perlbench_r.origin.elf,,checkspam.2500.5.25.11.150.1.1.1.1,checkspam.2500.5.25.11.150.1.1.1.1,500.perlbench_r.checkspam.2500.5.25.11.150.1.1.1.1,-I./lib checkspam.pl 2500 5 25 11 150 1 1 1 1
500.perlbench_r.diffmail.4.800.10.17.19.300,500.perlbench_r.diffmail.4.800.10.17.19.300/run,500.perlbench_r.diffmail.4.800.10.17.19.300/500.perlbench_r.origin.elf,500.perlbench_r.origin.elf,,diffmail.4.800.10.17.19.300,diffmail.4.800.10.17.19.300,500.perlbench_r.diffmail.4.800.10.17.19.300,-I./lib diffmail.pl 4 800 10 17 19 300
500.perlbench_r.splitmail.6400.12.26.16.100.0,500.perlbench_r.splitmail.6400.12.26.16.100.0/run,500.perlbench_r.splitmail.6400.12.26.16.100.0/500.perlbench_r.origin.elf,500.perlbench_r.origin.elf,,splitmail.6400.12.26.16.100.0,splitmail.6400.12.26.16.100.0,500.perlbench_r.splitmail.6400.12.26.16.100.0,-I./lib splitmail.pl 6400 12 26 16 100 0
